ingredient_symnonym_id,word,code,ingredient_id
1770,5'-구아닐산나트륨,D0101400000000,6198
1771,구연산 결정물(일수염),D0101500009000,6201
1772,구연산나트륨,D0101600000000,6202
1773,구연산삼나트륨 결정물(2수염,D0101600012000,6204
1774,5수염),D0101600012000,6204
1775,구연산삼나트륨 결정물(2수염,D0101600015000,6205
1776,5수염),D0101600015000,6205
1777,나이아신,D0103400000000,6232
1778,나이아신아미드,D0103500000000,6233
1779,dl-박하뇌,D0105800000000,6256
1780,이산화황,D0106200000000,6260
1781,치아민나프탈린-1,D0107000000000,6268
1782,5-디설폰산염,D0107000000000,6268
1783,치아민라우릴황산염,D0107100000000,6269
1784,치아민티오시안산염,D0107200000000,6270
1785,치아민질산염,D0107400000000,6272
1786,리보플라빈 5'-인산에스테르나트륨,D0107600000000,6274
1787,dl-사과산,D0108400000000,6282
1788,dl-사과산나트륨,D0108500000000,6283
1789,용성 삭카린,D0108600000000,6286
1790,아황산수소나트륨,D0108700000000,6287
1791,가성소오다액,D0109800000000,6298
1792,수산화나트륨(1수염),D0109800009000,6300
1793,α-아밀신나믹알데히드,D0113100000000,6333
1794,아황산소오다,D0114200000000,6344
1795,아황산나트륨 결정물(7수염),D0114200009000,6346
1796,비타민A유,D0116700000000,6381
1797,5'-이노신산나트륨,D0116900000000,6383
1798,인산삼나트륨,D0119300000000,6416
1799,인산삼칼륨,D0119400000000,6419
1800,인산삼칼슘,D0119500000000,6420
1801,인산이나트륨 / 인산수소이나트륨,D0119600000000,6421
1802,제이인산나트륨 결정물(2~12수염),D0119600009000,6423
1803,인산이암모늄,D0119700000000,6424
1804,인산이칼륨,D0119800000000,6425
1805,인산수소칼슘,D0119900000000,6426
1806,인산일나트륨,D0120000000000,6427
1807,제일인산나트륨 결정물,D0120000010000,6429
1808,제일인산나트륨 결정물,D0120000012000,6430
1809,산성인산암모늄,D0120100000000,6431
1810,산성인산칼륨,D0120200000000,6432
1811,산성인산칼슘,D0120300000000,6433
1812,제일인산칼슘(1수염),D0120300009000,6435
1813,dl-주석산,D0120400000000,6436
1814,d-주석산,D0120500000000,6437
1815,dl-주석산나트륨,D0120600000000,6438
1816,d-주석산나트륨,D0120700000000,6439
